Company,dReceievedDate,Isweekday,Isweekend,Country,status,Processed,ProcessedDate,Source,Currency,PostageCosts,Subtotal,PostageCostExTax,CountryTaxRate,Total,Tax,OrderItemSKU,OrderItemTitle,ItemCategory,OrderItemQuantity,ProductSalePrice,OrderItemTaxRate,OrderItemCostExTax,OrderItemCostIncTax,TotalAfterExComsion,DispatchStockUnitCost,TotalWeight,SupPurchasePrice,Profit,Payment Method
37,8/6/2014,1,0,United Kingdom,PAID,TRUE,7/8/2014 16:39,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
38,8/6/2014,1,0,United Kingdom,PAID,TRUE,8/8/2014 15:04,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
39,8/6/2014,1,0,United Kingdom,PAID,TRUE,8/8/2014 15:03,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
40,8/6/2014,1,0,United Kingdom,PAID,TRUE,8/8/2014 15:02,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
41,8/8/2014,1,0,United Kingdom,PAID,TRUE,8/8/2014 14:59,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
42,8/8/2014,1,0,United Kingdom,PAID,TRUE,11/8/2014 16:08,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
43,8/9/2014,0,1,United Kingdom,PAID,TRUE,11/8/2014 16:09,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
44,8/10/2014,0,1,United Kingdom,PAID,TRUE,12/8/2014 14:32,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
45,8/10/2014,0,1,United Kingdom,PAID,TRUE,12/8/2014 14:29,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
46,8/10/2014,0,1,United Kingdom,PAID,TRUE,,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
47,8/10/2014,0,1,United Kingdom,PAID,TRUE,12/8/2014 14:33,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
48,8/10/2014,0,1,United Kingdom,PAID,TRUE,12/8/2014 14:30,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
49,8/10/2014,0,1,United Kingdom,PAID,TRUE,12/8/2014 14:31,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
50,8/10/2014,0,1,United Kingdom,PAID,TRUE,12/8/2014 14:31,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
51,8/10/2014,0,1,United Kingdom,PAID,TRUE,12/8/2014 14:31,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
52,8/10/2014,0,1,United Kingdom,PAID,TRUE,12/8/2014 14:32,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
53,8/11/2014,1,0,United Kingdom,PAID,TRUE,12/8/2014 15:36,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
54,8/11/2014,1,0,United Kingdom,PAID,TRUE,13/08/2014 16:02,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
